type, act, sat2400, gpaWeighted, gpaCumulative, satConcorded, resultCode
RD, 35, 0, 4.212, 3.9534, 0, False
RD, 27, 2010, 3.8983, 3.8983, 1410, False
RD, 28, 1930, 3.6016, 3.6016, 1370, False
RD, 28, 1930, 3.6016, 3.6016, 1370, False
RD, 0, 2160, 3.4275, 3.4275, 1500, False
RD, 0, 2230, 3.5551, 3.5551, 1530, True
ED, 0, 2040, 4.1642, 4.1642, 1430, False
RD, 0, 1860, 3.6894, 3.6894, 1320, True
RD, 0, 1970, 4.1785, 4.1785, 1390, True
RD, 0, 1820, 3.6188, 3.6188, 1300, False
RD, 33, 2210, 4.1483, 4.1483, 1520, False
RD, 0, 1430, 3.3566, 3.3566, 1050, False
RD, 0, 1910, 3.7375, 3.7375, 1350, False
RD, 26, 1800, 4.0238, 4.0238, 1290, False
RD, 26, 1800, 4.0238, 4.0238, 1290, False
RD, 0, 1970, 3.8189, 3.8189, 1390, False
RD, 29, 1740, 4.1554, 4.1554, 1250, False
RD, 0, 2280, 4.3571, 4.3571, 1550, True
RD, 0, 2110, 4.2589, 4.2589, 1470, True
RD, 0, 1790, 3.4818, 3.4818, 1280, False
RD, 0, 2200, 3.9867, 3.9867, 1510, False
RD, 35, 0, 4.3164, 4.3164, 0, False
RD, 29, 0, 3.9544, 3.9544, 0, False
